Date,Time,Object ID,Logical ID,Category,Event,Behavior,Confidence,Centroid X,Centroid Y,Snapshot
2026-09-11,01:54:43,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9384,309,221,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0293.jpg
2026-09-11,01:54:44,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9401,308,221,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0294.jpg
2026-09-11,01:54:45,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9336,309,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0295.jpg
2026-09-11,01:54:45,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9405,308,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0296.jpg
2026-09-11,01:54:46,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9129,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0297.jpg
2026-09-11,01:54:46,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9418,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0298.jpg
2026-09-11,01:54:47,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9429,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0299.jpg
2026-09-11,01:54:48,93,1,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,210,239,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0024.jpg
2026-09-11,01:54:48,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9408,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0300.jpg
2026-09-11,01:54:48,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9443,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0301.jpg
2026-09-11,01:54:49,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9458,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0302.jpg
2026-09-11,01:54:49,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.8367,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0303.jpg
2026-09-11,01:54:50,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9397,307,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0304.jpg
2026-09-11,01:54:51,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.6749,307,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0305.jpg
2026-09-11,01:54:51,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9392,307,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0306.jpg
2026-09-11,01:54:52,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9379,307,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0307.jpg
2026-09-11,01:54:52,67,4,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,165,229,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0025.jpg
2026-09-11,01:54:52,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9397,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0308.jpg
2026-09-11,01:54:53,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9290,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0309.jpg
2026-09-11,01:54:53,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9319,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0310.jpg
2026-09-11,01:54:54,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9412,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0311.jpg
2026-09-11,01:54:55,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9385,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0312.jpg
2026-09-11,01:54:56,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9379,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0313.jpg
